close,high,low,open,timestamp,volume
39685.23,40050.19,37665.46,37735.35,1651622400,2297.27213438
36533.93,39840.37,35579.4,39685.23,1651708800,3736.73012912
36019.22,36648.2,35268.69,36542.41,1651795200,2594.53333069
35463.46,36123.99,34777.85,36019.15,1651881600,1224.39699253
34025.5,35496.55,33710.16,35465.46,1651968000,2670.39981616
30082,34224.35,30015,34051.2,1652054400,7631.12166167
30999.97,32650,29731.03,30066.48,1652140800,7402.30231296
29000,32148.15,27757.77,31002.27,1652227200,11180.84883589
28896.19,30090.7,25401.05,28999.99,1652313600,16578.81059900
29238.81,30974.6,28686.37,28932.69,1652400000,6010.27363922
30033.96,30281.49,28561.23,29239.41,1652486400,2910.99216303
31295.03,31411.48,29440.71,30041.16,1652572800,2085.06630084
29832.45,31275.27,29060,31275.27,1652659200,3112.79429009
30425.36,30753.96,29400,29847.53,1652745600,2143.92566327
28681.26,30670,28615.23,30423.9,1652832000,2318.15544994
30290.33,30505.14,28656.46,28681.15,1652918400,2516.77484526
29176.7,30725.56,28690.13,30271.22,1653004800,2337.17319044
29421.05,29621.01,28914.7,29176.7,1653091200,490.42738451
30264.66,30457.58,29209.03,29400.34,1653177600,1318.89417974
29081.76,30628,28839.29,30264.66,1653264000,2158.65047198
29632.15,29810.38,28632.4,29081.76,1653350400,1490.23613231
29510.15,30189.7,29313.78,29626.53,1653436800,1563.30877003
29183.06,29853.34,28003,29511.95,1653523200,2835.00522362
28589.48,29360.34,28253.57,29183.39,1653609600,2109.94198208
29010.82,29231.9,28498.73,28606.08,1653696000,721.54694670
29448.94,29561.04,28814.46,29010.82,1653782400,909.19180016
31731.22,32195.68,29276.15,29454.69,1653868800,3257.54873650
31762.76,32375.81,31181.26,31677.13,1653955200,1621.62249868
29787.4,31962.79,29309.84,31777.06,1654041600,2629.80184718
30437.18,30688.82,29568.13,29791.96,1654128000,1226.29074296
29669.39,30670.07,29232.99,30437.77,1654214400,1151.14514737
29853.51,29948.84,29444.21,29688.17,1654300800,472.40386055
29888.98,30153.18,29514.96,29834.06,1654387200,563.06294053
31351.21,31737.31,29868.16,29905.46,1654473600,2494.10424691
31115.82,31536.11,29184.25,31351.1,1654560000,3672.30493412
30185.58,31310.53,29831.85,31108.3,1654646400,1909.67240307
30089.03,30672.56,29920.56,30190.31,1654732800,953.92926451
29065.66,30333.81,28832.83,30068.53,1654819200,2545.34126907
28390.94,29403.62,28085.75,29065.66,1654905600,1587.19524670
26585.1,28523.06,26500,28397.38,1654992000,2588.83347441
22450.43,26845.63,21910.26,26538.63,1655078400,12621.88318574
22097.3,23288.88,20816.35,22407.53,1655164800,8576.80050998
22555.27,22756,20079.72,22077.83,1655251200,13481.53959307
20382.88,22957.01,20200,22563.82,1655337600,4889.12430380
20440.7,21325.06,20220.16,20387.66,1655424000,3615.09731757
18956.8,20758,17592.78,20428.19,1655510400,7958.38532206
20552.82,20783.48,17930.7,18952.14,1655596800,5100.88311828
20555.44,21036.89,19616.1,20557.2,1655683200,5112.85052521
20712.29,21708.76,20332.07,20555.44,1655769600,3543.16812013
19963.68,20863.44,19743.99,20710.01,1655856000,4210.49538322
21093.42,21204.14,19869.63,19977.24,1655942400,2677.89902823
21215.42,21538.4,20713.77,21102.75,1656028800,2444.77217091
21486.8,21586.67,20890,21229.66,1656115200,1196.38466227
21028.69,21868,20968.85,21486.67,1656201600,1437.60709463
20699.72,21516.85,20491.28,21029.19,1656288000,1648.58803237
20261.34,21178.73,20176,20722.27,1656374400,2048.68451940
20093.18,20398.99,19827,20253.88,1656460800,1605.32356204
19924.89,20131.06,18595.6,20098,1656547200,4907.84854025
19239.47,20895.08,18944.69,19960.61,1656633600,4424.08855864
19228.25,19425.08,18960,19263.41,1656720000,1478.97411836
19294.46,19616.43,18763.96,19232.76,1656806400,1438.93649433
20209.53,20319.88,19032.44,19296.88,1656892800,2016.08200690
20168.63,20720,19281.82,20209.02,1656979200,2882.22647228
20547.45,20648.76,19750.16,20164.65,1657065600,2093.38193195
21643.56,21847.25,20237.58,20546.29,1657152000,3422.57159508
21584.14,22401,21164.07,21620.85,1657238400,3352.94753796
21588.35,21955.18,21311.36,21592.69,1657324800,865.38701575
20856.08,21593.73,20629.99,21581.98,1657411200,1398.91806277
19949.71,20858.75,19869,20851.14,1657497600,1381.03847332
19321.14,20036.24,19237.42,19948.55,1657584000,1738.03082444
20232.35,20367.88,18905.55,19337.91,1657670400,3196.86413812
20577.23,20880,19608.47,20225.24,1657756800,2574.75885317
20835.39,21186.35,20368.7,20569.17,1657843200,1581.83012930
21195.49,21577,20472.68,20823.7,1657929600,1740.63926769
20801.85,21664.52,20751.08,21198.34,1658016000,1497.20354125
22435.04,22760.04,20757.29,20786.76,1658102400,4288.35687434
23405.02,23800,21578.45,22439.63,1658188800,4682.35297064
23208.53,24280.3,22893.95,23392.04,1658275200,4052.68459237
23163.34,23430.33,22340.34,23217,1658361600,2267.47408756
